ID,TOI,WN,ITOW,top,health,URAed,toe,A,deltaA,Adot,deltan0,deltan0dot,M0,e,omg,OMG0,i0,deltaOMGdot,i0dot,cis,cic,crs,crc,cus,cuc,URANED0,URANED1,URANED2,af0,af1,af2,TGD,ISCL1CP,ISCL1CD,WNop
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
G01,10,2279,54,396000,0,1,396000,26559974.69140625,264.69140625,0.0,3.726583798601948e-09,0.0,-2.527959947267374,0.012865992030128837,0.9924837133189695,0.390219505774435,0.9905814575338091,7.37887878849111e-10,4.3501812025083116e-10,-9.872019290924072e-08,1.695007085800171e-07,83.6875,189.59375,1.0585412383079529e-05,4.079192876815796e-06,0,0,0,0.000165523961186409,-9.094947017729282e-13,0.0,5.122274160385132e-09,0.0,0.0,231
G02,10,2279,54,396000,0,0,396000,26561144.56640625,1434.56640625,0.0,4.315536902291291e-09,0.0,0.16163601333731903,0.015975479502230883,-1.3461461573279023,0.2892576423418571,0.9678894330056181,4.178745490094191e-11,2.2786663441710204e-10,-1.73225998878479e-07,-1.9744038581848145e-07,65.25,172.6875,1.1205673217773438e-05,3.285706043243408e-06,0,0,0,-0.0005540414713323116,4.433786671143025e-12,0.0,-1.7695128917694092e-08,0.0,0.0,231
G03,10,2279,54,396000,0,0,396000,26559551.599609375,-158.400390625,0.0,4.535188908821883e-09,0.0,2.5519746925836233,0.00512492679990828,1.1087014409280973,1.4198171186820083,0.9801906459262265,-2.0715148583372912e-11,8.714648714384467e-11,-1.0989606380462646e-07,-2.0489096641540527e-08,25.9375,341.59375,2.3730099201202393e-06,1.2051314115524292e-06,0,0,0,-0.00013565504923462868,2.0463630789890885e-11,0.0,1.862645149230957e-09,0.0,0.0,231
G04,10,2279,54,396000,0,0,396000,26559883.865234375,173.865234375,0.0,4.432327481373411e-09,0.0,-0.7097593351137876,0.002539996290579438,-3.0411082383419985,2.5006625381292853,0.9635616122316543,1.3464846579192393e-10,-5.193073455211071e-10,-7.450580596923828e-09,3.5390257835388184e-08,-89.75,214.71875,8.67992639541626e-06,-4.818663001060486e-06,0,0,0,0.0001557520590722561,1.1141310096718371e-11,0.0,-4.190951585769653e-09,0.0,0.0,231
G16,10,2279,54,396000,0,0,396000,26560126.05078125,416.05078125,0.0,4.7587696504286326e-09,0.0,0.6098880025004814,0.013380345539189875,0.7934041040084402,-1.6352300430378126,0.9636675640735451,-3.2608501132102534e-10,5.357366012941271e-12,1.6205012798309326e-07,-1.6391277313232422e-07,14.15625,307.96875,3.816559910774231e-06,8.959323167800903e-07,0,0,0,-0.00045427773147821426,5.5706550483591855e-12,0.0,-1.0244548320770264e-08,0.0,0.0,231
G21,10,2279,54,396000,0,1,396000,26559314.705078125,-395.294921875,0.0,4.491615665249961e-09,0.0,-0.357753133076838,0.02478579629678279,-0.7070056193133285,0.28359137587340055,0.962177922869724,-7.821754378894255e-11,3.532289991199278e-10,-4.7497451305389404e-07,-8.009374141693115e-08,61.53125,178.03125,1.0794028639793396e-05,2.9597431421279907e-06,0,0,0,0.00014892034232616425,-7.958078640513122e-13,0.0,-1.0244548320770264e-08,0.0,0.0,231
G26,10,2279,54,396000,0,0,396000,26561112.85546875,1402.85546875,0.0,5.462727544529116e-09,0.0,1.4678372978409333,0.00817459647078067,0.4683060264143089,-1.794817186940067,0.9326586322899265,-5.739524788531081e-10,1.421487782100417e-10,8.940696716308594e-08,-6.705522537231445e-08,35.3125,290.5625,3.926455974578857e-06,1.9185245037078857e-06,0,0,0,0.00022852839902043343,-1.8189894035458565e-12,0.0,6.984919309616089e-09,0.0,0.0,231
G27,10,2279,54,396000,0,0,396000,26560315.4140625,605.4140625,0.0,4.431970323639215e-09,0.0,-0.3050028804113655,0.011619941564276814,0.7421579520290843,-0.6801736287846504,0.9659656620842659,-2.8572618735686776e-11,-3.9144487667890884e-10,1.6205012798309326e-07,4.0978193283081055e-08,-52.09375,219.25,8.633360266685486e-06,-2.5853514671325684e-06,0,0,0,-3.933394327759743e-05,-6.252776074688882e-12,0.0,1.3969838619232178e-09,0.0,0.0,231
G31,10,2279,54,396000,0,0,396000,26559923.263671875,213.263671875,0.0,4.356252883989645e-09,0.0,2.211803902304794,0.010456272400915623,0.5833286026177263,-2.7481487666498046,0.954821027808372,2.8322608321749516e-10,2.3036673855647463e-10,-1.1734664440155029e-07,-1.7136335372924805e-07,25.6875,159.5625,1.1514872312545776e-05,1.1455267667770386e-06,0,0,0,-0.0002233581617474556,-5.684341886080801e-13,0.0,-1.30385160446167e-08,0.0,0.0,231
